governorate,area_sqkm
Muscat,3799.03091262035
Al - Batinah North,7930.57263173032
Al - Batinah South,5347.66168601569
Musandam,1628.47389472568
Al - Dhahira,36060.7484822555
Al - Dakhliyah,32142.9455948602
Al - Sharqiyah South,12141.082209739
Al - Sharqiyah North,21141.9077275748
Al - Wusta,82274.7864349157
Dhofar,99186.3329612929
Al - Buraymi,7480.60768753649
