governorate,area_sqkm
All,309134.1502
Al - Batinah North,3799.030913
Al - Batinah South,7930.572632
Al - Buraymi,5347.661686
Al - Dakhliyah,1628.473895
Al - Dhahira,36060.74848
Al - Sharqiyah North,32142.94559
Al - Sharqiyah South,12141.08221
Al - Wusta,21141.90773
Dhofar,82274.78643
Musandam,99186.33296
Muscat,7480.607688
